target_pitch_type,target_pitch_label,feature,mean_beta,mean_abs_beta,pitchers,mean_target_rate
SI,sinker (SI),prev_description_pitchout,0.0038319495136341407,0.1329981317745636,13,0.15641469101165256
SI,sinker (SI),prev_description_swinging_strike_blocked,-0.009479389826386561,0.11562639289550758,76,0.18479733836311815
SI,sinker (SI),prev_description_foul_bunt,-0.009871906906374052,0.1101308356414184,82,0.19119119361807113
SI,sinker (SI),prev_pitch_type_FS,-0.053362180710557025,0.07967331918622167,17,0.1792893293824163
SI,sinker (SI),prev_pitch_type_SI,0.036642893309623024,0.07433709545276863,83,0.18967854099184164
SI,sinker (SI),prev_pitch_type_ST,0.050090255753762636,0.0734796480834979,42,0.1769234104625662
SI,sinker (SI),prev_pitch_type_KC,-0.04600763333801165,0.06742803674951864,11,0.13888572747426814
SI,sinker (SI),prev_pitch_type_FC,0.0335422285447932,0.06697369465905947,51,0.18057702842811674
SI,sinker (SI),prev_description_foul_tip,-0.0028104735734674406,0.05741708916765225,83,0.18967854099184164
SI,sinker (SI),prev_pitch_type_SL,0.014415882595709929,0.054564141789872136,65,0.17783768360290092
SI,sinker (SI),prev_description_blocked_ball,0.00370023523173645,0.04640970682843253,83,0.18967854099184164
SI,sinker (SI),prev_pitch_type_FF,-0.024642104125640992,0.04519730215151316,77,0.18603622391323815
SI,sinker (SI),prev_pitch_type_CU,0.015723457854674938,0.039636251538278475,45,0.17790658820685093
SI,sinker (SI),prev_description_swinging_strike,-0.01620043729330336,0.03867423254394488,83,0.18967854099184164
SI,sinker (SI),prev_description_foul,0.010438368736048744,0.03711218474253421,83,0.18967854099184164
SI,sinker (SI),prev_description_ball,0.020694113704657558,0.03702773552834528,83,0.18967854099184164
SI,sinker (SI),prev_description_called_strike,0.005068853060639425,0.033661743039349074,83,0.18967854099184164
SI,sinker (SI),prev_pitch_type_SV,0.005217860371541304,0.01993969623929947,4,0.2615822782849251
SL,slider (SL),count_3-0,-0.13996812834373157,0.1773445491084842,76,0.1548444613011462
SL,slider (SL),prev_description_missed_bunt,-0.03367404500943056,0.15875028646211176,39,0.14137311935566343
SL,slider (SL),prev_pitch_type_UN,0.07174911194491329,0.15611899308199573,3,0.16987335205121443
SL,slider (SL),count_3-1,-0.05097741738432273,0.12155744985698008,76,0.1548444613011462
SL,slider (SL),prev_description_foul_bunt,0.008953395828681364,0.12058063280516362,76,0.1548444613011462
SL,slider (SL),prev_description_swinging_strike_blocked,0.012470236942877558,0.11540267089398488,71,0.1564854043850648
SL,slider (SL),count_2-0,-0.031430234165139966,0.10906884963363482,76,0.1548444613011462
SL,slider (SL),stand_R,0.02558703659838336,0.10884412689166993,76,0.1548444613011462
SL,slider (SL),count_0-2,0.01598169382963112,0.10658761410314695,76,0.1548444613011462
SL,slider (SL),count_1-2,0.007200074647167557,0.09817800266110074,76,0.1548444613011462
SL,slider (SL),prev_description_pitchout,-0.016433298733549637,0.0938642573412905,11,0.14015932753867033
SL,slider (SL),prev_pitch_type_PO,-0.016433298733550174,0.0938642573412885,11,0.14015932753867033
SL,slider (SL),count_0-1,-0.010936680503933854,0.0935551881594233,76,0.1548444613011462
SL,slider (SL),count_3-2,-0.018211576952932674,0.09153221605386723,76,0.1548444613011462
SL,slider (SL),prev_description_bunt_foul_tip,-0.0907529404301383,0.0907529404301383,4,0.15177452986778234
SL,slider (SL),prev_pitch_type_SL,0.06555653831309351,0.09042419718905972,76,0.1548444613011462
SL,slider (SL),count_1-0,-0.01752213612247363,0.09007880678374439,76,0.1548444613011462
SL,slider (SL),count_2-2,-0.006034360929863683,0.0895848774880028,76,0.1548444613011462
SL,slider (SL),count_1-1,-0.017676991205391485,0.08706454859188355,76,0.1548444613011462
SL,slider (SL),prev_pitch_type_START,0.0028595028232024445,0.08649427827173027,76,0.1548444613011462
SL,slider (SL),count_2-1,-0.011913427829547718,0.08638231142618807,76,0.1548444613011462
SL,slider (SL),prev_pitch_type_ST,-0.02592680065243674,0.07550872793166587,31,0.15075089907674835
SL,slider (SL),prev_description_foul_tip,-0.02824105329630131,0.06392225865869007,76,0.1548444613011462
SL,slider (SL),prev_pitch_type_KC,0.04678589879488205,0.061091361429745805,12,0.168696131541749
SL,slider (SL),prev_pitch_type_FC,0.00793202418009669,0.05860885520571742,39,0.11377188469676185
SL,slider (SL),prev_pitch_type_CS,-0.046214378103300514,0.05016323141142953,6,0.10797337445896134
SL,slider (SL),prev_description_blocked_ball,0.01596225924133395,0.04811790716530394,76,0.1548444613011462
SL,slider (SL),prev_pitch_type_SI,0.025213773701687446,0.04513751347601345,66,0.15053150298377696
SL,slider (SL),prev_description_swinging_strike,0.0022840649940393584,0.03946268610208058,76,0.1548444613011462
SL,slider (SL),prev_pitch_type_CU,-0.02501272557309654,0.03668999549810207,45,0.14670014304657394
